equipo,partidos_jugados,victoria,empate,derrota,goles_favor,goles_contra,Ratio V/PJ
Malta,114,21,20,73,77.0,221.0,0.18421052631578946
Nepal,89,21,21,47,64.0,145.0,0.23595505617977527
Guinea-Bissau,81,20,23,38,75.0,111.0,0.24691358024691357
Eswatini,93,20,32,41,86.0,132.0,0.21505376344086022
Moldova,127,20,29,78,89.0,235.0,0.15748031496062992
Lithuania,121,19,26,76,78.0,221.0,0.15702479338842976
Mauritius,83,18,19,46,66.0,125.0,0.21686746987951808
Yemen,82,16,23,43,70.0,128.0,0.1951219512195122
Laos,83,15,14,54,80.0,213.0,0.18072289156626506
Gibraltar,110,14,15,81,54.0,338.0,0.12727272727272726
Andorra,112,11,21,80,42.0,215.0,0.09821428571428571
Liechtenstein,110,8,14,88,37.0,300.0,0.07272727272727272
San Marino,103,2,8,93,24.0,358.0,0.019417475728155338
